# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606mF814    F814       F606     comp     cumweight      pos
    0.4294    22.7342    23.1636    98.4782     1.0155          1
   -0.2121    22.8615    22.6494    98.6720     2.0289          2
   -0.2121    22.8615    22.6494    98.6720     3.0424          3
   -0.1086    22.9491    22.8405    98.5093     4.0575          4
   -0.1086    22.9491    22.8405    98.5093     5.0726          5
    0.5991    23.1898    23.7888    98.3025     6.0899          6
    0.4354    23.1971    23.6325    98.2916     7.1073          7
   -0.2145    23.2287    23.0142    98.2445     8.1252          8
   -0.2145    23.2287    23.0142    98.2445     9.1430          9
   -0.1904    23.3227    23.1323    97.9945    10.1635         10
   -0.1904    23.3227    23.1323    97.9945    11.1840         11
    0.4871    23.3295    23.8166    97.9684    12.2047         12
    0.4871    23.3295    23.8166    97.9684    13.2254         13
   -0.1868    23.3955    23.2087    97.7148    14.2488         14
   -0.1892    23.3980    23.2087    97.7055    15.2723         15
    0.5569    23.3987    23.9556    97.7028    16.2958         16
    0.5232    23.4567    23.9799    97.6179    17.3202         17
   -0.0292    23.4637    23.4345    97.6114    18.3447         18
   -0.1604    23.4663    23.3060    97.6089    19.3692         19
   -0.1604    23.4663    23.3060    97.6089    20.3937         20
    0.6015    23.4722    24.0737    97.6034    21.4182         21
   -0.1567    23.4766    23.3199    97.5993    22.4428         22
   -0.1567    23.4766    23.3199    97.5993    23.4674         23
   -0.1736    23.4969    23.3234    97.5802    24.4922         24
   -0.1688    23.5269    23.3581    97.5522    25.5173         25
   -0.1688    23.5269    23.3581    97.5522    26.5424         26
   -0.1640    23.6610    23.4970    97.2766    27.5704         27
   -0.1640    23.6610    23.4970    97.2766    28.5984         28
   -0.1784    23.6720    23.4936    97.2515    29.6267         29
   -0.1784    23.6720    23.4936    97.2515    30.6549         30
   -0.1628    23.7536    23.5908    97.0313    31.6855         31
   -0.1628    23.7536    23.5908    97.0313    32.7161         32
   -0.1435    23.8003    23.6568    96.9010    33.7481         33
   -0.1435    23.8003    23.6568    96.9010    34.7801         34
   -0.1435    23.8455    23.7020    96.8044    35.8131         35
   -0.1435    23.8455    23.7020    96.8044    36.8461         36
   -0.1423    23.8617    23.7194    96.7797    37.8794         37
   -0.1423    23.8617    23.7194    96.7797    38.9127         38
   -0.0942    23.8761    23.7819    96.7577    39.9462         39
   -0.0942    23.8761    23.7819    96.7577    40.9797         40
   -0.1760    23.8815    23.7055    96.7494    42.0133         41
   -0.1760    23.8815    23.7055    96.7494    43.0469         42
   -0.1459    23.8827    23.7367    96.7476    44.0805         43
   -0.1459    23.8827    23.7367    96.7476    45.1141         44
    0.5870    23.9626    24.5496    96.6252    46.1490         45
   -0.0581    23.9928    23.9347    96.6648    47.1835         46
   -0.1002    24.0037    23.9035    96.6803    48.2179         47
   -0.1363    24.0502    23.9139    96.7464    49.2515         48
   -0.1363    24.0502    23.9139    96.7464    50.2851         49
   -0.1110    24.0736    23.9625    96.7796    51.3184         50
   -0.0978    24.0777    23.9799    96.7854    52.3516         51
   -0.1315    24.0871    23.9556    96.7988    53.3847         52
   -0.1315    24.0871    23.9556    96.7988    54.4178         53
