# datafile= 47tuc_fromUV.raw
#  F225mF336 F225 F336     comp       cumweight      pos
-0.532 14.3880 14.9200 0.973354230952 1.02737520237 1
-0.909 14.8030 15.7120 0.97205586525 2.05612265995 2
-0.906 15.2830 16.1890 0.975892935364 3.08082523106 3
-1.077 16.6050 17.6820 0.802128326972 4.32750854391 4
-0.516 17.3070 17.8230 0.976967029894 5.35108453921 5
-1.1 17.2130 18.3130 0.915774020422 6.44305698842 6
-1.01 17.5910 18.6010 0.967554764095 7.47659021786 7
-1.027 17.6730 18.7000 0.96554606726 8.51227358286 8
-0.955 17.8360 18.7910 0.798668421684 9.76435764284 9
-0.972 17.9520 18.9240 0.973394122653 10.7916907412 10
-1.057 17.9360 18.9930 0.949189800097 11.8452208149 11
-1.003 18.0210 19.0240 0.889174192013 12.969859844 12
-0.999 18.3330 19.3320 0.929249838265 14.0459967006 13
-0.978 18.3740 19.3520 0.958457282906 15.0893400169 14
-0.925 18.4290 19.3540 0.723164502824 16.4721512529 15
-0.962 18.5620 19.5240 0.954933719388 17.5193443509 16
-1.528 18.0390 19.5670 0.917201079283 18.6096178172 17
-0.922 18.6710 19.5930 0.921969904141 19.6942519202 18
-1.044 18.5680 19.6120 0.977822800689 20.7169321025 19
-0.917 18.7270 19.6440 0.955374037228 21.7636425646 20
-1.044 18.6150 19.6590 0.946729419374 22.8199105748 21
-1.006 18.6600 19.6660 0.957678031347 23.8641028474 22
-1.012 18.6660 19.6780 0.976258083478 24.8884221508 23
-0.754 18.9500 19.7040 0.647760473647 26.4322026695 24
-1.029 18.8120 19.8410 0.802983914752 27.6775576282 25
-0.915 18.9650 19.8800 0.954685219466 28.7250233055 26
-0.941 18.9670 19.9080 0.724366038661 30.1055408155 27
-1.005 18.9270 19.9320 0.963452765812 31.1434744179 28
-0.988 18.9500 19.9380 0.983757650997 32.1599849365 29
-1.008 18.9610 19.9690 0.963379380688 33.1979976032 30
-1.002 19.0070 20.0090 0.637066619653 34.7676921519 31
-0.944 19.1400 20.0840 0.950046520824 35.8202721867 32
-1.006 19.1000 20.1060 0.975733583267 36.8451421073 33
-1.076 19.0860 20.1620 0.781727276343 38.1243606152 34
-1.053 19.1470 20.2000 0.979406101633 39.1453875399 35
-1.854 18.3790 20.2330 0.889885836983 40.269127191 36
-1.023 19.2230 20.2460 0.990034043869 41.2791934672 37
-1.053 19.2200 20.2730 0.768028090051 42.5812291778 38
-1.006 19.3160 20.3220 0.973066661472 43.6089079994 39
-0.928 19.4020 20.3300 0.986855302963 44.622227781 40
-1.724 18.6340 20.3580 0.881243972422 45.7569873156 41
-1.026 19.3540 20.3800 0.686573384633 47.2134958584 42
-0.818 19.5630 20.3810 0.878499065211 48.3518009968 43
-0.785 19.6020 20.3870 0.881153694021 49.4866767929 44
-0.884 19.5330 20.4170 0.841534926981 50.6749816011 45
-0.918 19.4990 20.4170 0.86128680935 51.8360350262 46
-1.046 19.4020 20.4480 0.869331689971 52.9863439492 47
-1.051 19.4020 20.4530 0.98467700337 54.0019053938 48
-0.9 19.5580 20.4580 0.880672719348 55.1374009962 50
-0.994 19.4650 20.4590 0.962717566866 56.1761272379 51
-0.933 19.5270 20.4600 0.916817564726 57.2668567772 52
-1.007 19.4600 20.4670 0.972780132674 58.2948382978 53
-0.989 19.4930 20.4820 0.983850232855 59.3112531611 54
-0.9 19.6070 20.5070 0.961610054977 60.3511757314 55
-1.057 19.4700 20.5270 0.98279561904 61.3686812846 57
-0.995 19.5480 20.5430 0.610312113309 63.0071871871 59
-0.935 19.6270 20.5620 0.988612454212 64.0187059027 60
-0.907 19.6580 20.5650 0.941943006841 65.0803412594 61
-0.866 19.7020 20.5680 0.769341472325 66.3801541981 62
-0.976 19.6270 20.6030 0.890360695615 67.5032945219 63
-0.906 19.7030 20.6090 0.974992705966 68.5289432205 64
-0.974 19.6410 20.6150 0.975462197835 69.5540982723 66
-1.065 19.5750 20.6400 0.502925597672 71.5424639563 67
-0.919 19.7240 20.6430 0.974576158793 72.5685510312 68
-0.948 19.7020 20.6500 0.953428742697 73.6173971119 69
-0.841 19.8370 20.6780 0.507654127822 75.5872422194 70
-0.852 19.8260 20.6780 0.866192828053 76.7417195685 71
-0.824 19.8710 20.6950 0.753113132643 78.0695413215 72
-1.016 19.6850 20.7010 0.973853562539 79.0963897498 73
-0.807 19.8990 20.7060 0.801165956499 80.344570594 74
-0.505 20.2030 20.7080 0.696488741449 81.780343982 75
-1.128 19.5890 20.7170 0.965864850387 82.8156855203 76
-0.901 19.8160 20.7170 0.814096048244 84.0440418085 77
-1.037 19.6880 20.7250 0.987548323045 85.0566504846 78
-1.148 19.5810 20.7290 0.511362961139 87.0122086223 79
-1.014 19.7220 20.7360 0.978269161771 88.0344221798 80
-0.812 19.9280 20.7400 0.858577473235 89.1991394373 81
-0.955 19.8290 20.7840 0.975537527315 90.2242153283 83
-0.606 20.1920 20.7980 0.476932546457 92.3209478902 85
-1.059 19.7540 20.8130 0.977532094757 93.3439322049 86
-1.023 19.8210 20.8440 0.562246118754 95.1225127351 87
-0.919 19.9320 20.8510 0.96446972868 96.1593519124 89
-0.951 19.9000 20.8510 0.972604126137 97.1875194608 90
-0.946 19.9120 20.8580 0.973487140245 98.2147543966 91
-0.941 19.9480 20.8890 0.94496920068 99.2729899447 92
-0.925 19.9670 20.8920 0.891304441642 100.394941046 93
-1.09 19.8170 20.9070 0.926484624194 101.474289773 94
-0.693 20.2470 20.9400 0.573663953904 103.217470591 95
-0.972 19.9720 20.9440 0.967931530433 104.250601518 96
-0.9 20.0560 20.9560 0.490800589069 106.288088886 97
-0.589 20.3680 20.9570 0.51158914226 108.242782442 98
-1.029 19.9310 20.9600 0.96597602386 109.278004824 99
-0.858 20.1100 20.9680 0.983628990596 110.294648304 100
-0.87 20.1160 20.9860 0.676584416982 111.77266047 102
-0.931 20.0620 20.9930 0.610779564377 113.409912367 103
-0.917 20.0790 20.9960 0.978698229088 114.431677779 104
-0.83 20.2230 21.0530 0.941848699074 115.493419438 107
-0.876 20.1810 21.0570 0.828132835413 116.700955183 108
-0.823 20.2360 21.0590 0.751280379698 118.032016165 109
-0.953 20.1290 21.0820 0.981220082515 119.051155518 112
-0.923 20.1650 21.0880 0.893402927342 120.170471304 114
-0.929 20.1870 21.1160 0.721754018146 121.555984893 115
-0.922 20.1980 21.1200 0.918985752565 122.644141044 116
-0.857 20.2890 21.1460 0.752815131268 123.972488415 117
-1.02 20.1280 21.1480 0.862077092277 125.13247748 118
-0.554 20.5950 21.1490 0.739558817713 126.484634977 119
-0.972 20.1780 21.1500 0.950467337153 127.536748985 120
-0.941 20.2360 21.1770 0.970781085913 128.566847341 121
-0.855 20.3460 21.2010 0.805822423413 129.807815538 123
-0.8 20.4100 21.2100 0.830626242447 131.011726453 124
-0.694 20.5190 21.2130 0.889966598417 132.135364129 125
-0.86 20.3650 21.2250 0.975759724876 133.160206592 127
-0.873 20.3520 21.2250 0.918562931642 134.24886363 128
-0.826 20.4100 21.2360 0.393381589617 136.790924637 129
-0.88 20.3590 21.2390 0.895958107248 137.90704825 130
-0.86 20.3850 21.2450 0.608356372688 139.550821612 131
-0.884 20.3640 21.2480 0.968967369761 140.582848109 132
-0.848 20.4010 21.2490 0.892476145993 141.703326235 133
-0.933 20.3180 21.2510 0.967372123586 142.737054597 135
-0.898 20.3630 21.2610 0.966961899206 143.771221507 136
-0.982 20.2880 21.2700 0.963324205549 144.809293627 137
-0.862 20.4080 21.2700 0.665453917652 146.312027285 138
-0.921 20.3540 21.2750 0.971757878597 147.341090205 139
-1.05 20.2590 21.3090 0.952603767768 148.390844609 140
-0.823 20.5070 21.3300 0.967547230698 149.424385885 141
-0.853 20.4910 21.3440 0.922632010956 150.508241624 144
-0.93 20.4380 21.3680 0.53267812395 152.385547928 145
-0.867 20.5270 21.3940 0.864130835505 153.542780096 147
-0.758 20.6370 21.3950 0.78751145738 154.812602891 148
-0.835 20.5670 21.4020 0.650259756729 156.350449866 150
-0.717 20.7000 21.4170 0.96937674395 157.382040531 152
-0.964 20.4540 21.4180 0.966433314814 158.416773073 153
-0.848 20.6090 21.4570 0.957007069434 159.461697433 157
-0.911 20.5460 21.4570 0.829935993741 160.666609628 158
-0.602 20.8720 21.4740 0.759001161481 161.984130669 159
-0.895 20.5860 21.4810 0.93182100019 163.057298154 162
-0.837 20.6690 21.5060 0.72299077569 164.440441666 163
-0.736 20.7730 21.5090 0.486912547824 166.494198556 164
-0.854 20.6560 21.5100 0.931372582658 167.567882727 165
-0.866 20.6470 21.5130 0.963255026344 168.6060294 166
-1.761 19.7640 21.5250 0.865133619456 169.761920209 167
-0.853 20.6790 21.5320 0.90956957602 170.861341327 168
-0.598 20.9350 21.5330 0.374914157362 173.52861857 169
-0.878 20.6560 21.5340 0.954257702031 174.576553523 170
-1.03 20.5140 21.5440 0.968769746996 175.608790546 171
-0.749 20.7970 21.5460 0.577923481423 177.339123423 172
-0.834 20.7180 21.5520 0.956017609351 178.38512926 174
-0.748 20.8080 21.5560 0.963540176527 179.422968703 175
-0.882 20.6800 21.5620 0.958225452906 180.466564443 177
-0.802 20.7720 21.5740 0.85101652267 181.64162976 180
-0.756 20.8190 21.5750 0.742082891833 182.989188113 181
-0.647 20.9320 21.5790 0.962961065329 184.027651698 182
-0.812 20.7760 21.5880 0.741402610473 185.376446517 184
-0.85 20.7410 21.5910 0.957560860315 186.420766562 185
-0.907 20.6850 21.5920 0.948904707796 187.474613162 186
-0.84 20.7700 21.6100 0.940925287645 188.537396799 189
-0.969 20.6470 21.6160 0.723179973018 189.920178454 190
-0.849 20.7740 21.6230 0.960672390165 190.961116042 191
-1.046 20.5930 21.6390 0.447515608112 193.195674975 194
-0.756 20.8880 21.6440 0.957677712437 194.239867595 195
-0.879 20.7680 21.6470 0.9481972666 195.294500461 196
-0.901 20.7520 21.6530 0.752274156475 196.623803071 197
-0.889 20.7660 21.6550 0.86116356981 197.785022652 198
-0.717 20.9440 21.6610 0.91594465917 198.876791669 199
-0.896 20.7730 21.6690 0.872963733143 200.02231463 200
-0.812 20.8580 21.6700 0.469725489045 202.151217624 201
-0.823 20.8620 21.6850 0.610466584836 203.789308921 205
-0.909 20.7790 21.6880 0.951130968347 204.84068884 206
-0.636 21.0540 21.6900 0.312505268691 208.040634889 209
-0.827 20.8720 21.6990 0.964800344417 209.077118765 210
-0.866 20.8390 21.7050 0.949469025197 210.13033901 211
-1.063 20.6430 21.7060 0.948978077392 211.184104133 212
-0.916 20.8030 21.7190 0.957756068821 212.228211325 213
-0.751 20.9730 21.7240 0.524935616442 214.13320685 214
-0.684 21.0420 21.7260 0.932472983622 215.205623979 216
-0.876 20.8590 21.7350 0.964202687827 216.242750314 217
-0.817 20.9310 21.7480 0.77605471704 217.531319249 220
-0.926 20.8230 21.7490 0.839714772779 218.72219981 221
-0.755 20.9960 21.7510 0.666268055956 220.223097221 222
-0.516 21.2360 21.7520 0.935443387802 221.292109 223
-0.835 20.9180 21.7530 0.955378029286 222.338815088 224
-0.878 20.8830 21.7610 0.962404565063 223.377879154 226
-0.678 21.0850 21.7630 0.412436232454 225.802496395 227
-0.825 20.9400 21.7650 0.88043287375 226.938301326 228
-0.929 20.8410 21.7700 0.587414539112 228.640676622 229
