# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606-F814    F814       F606     comp     cumweight      origpos      xraw       yraw     pos
    0.4294    22.7342    23.1636    98.4782     1.0155       1868        992       2161          1
   -0.2121    22.8615    22.6494    98.6720     2.0289        886        459       2309          2
   -0.2121    22.8615    22.6494    98.6720     3.0424       1903        459       2309          3
   -0.1086    22.9491    22.8405    98.5093     4.0575       1427        545       2254          4
   -0.1086    22.9491    22.8405    98.5093     5.0726       1939        545       2254          5
    0.5991    23.1898    23.7888    98.3025     6.0899        595       1133       1981          6
    0.4354    23.1971    23.6325    98.2916     7.1073       1857        997       2026          7
   -0.2145    23.2287    23.0142    98.2445     8.1252       1927        457       2204          8
   -0.2145    23.2287    23.0142    98.2445     9.1430       1269        457       2204          9
   -0.1904    23.3227    23.1323    97.9945    10.1635       1116        477       2170         10
   -0.1904    23.3227    23.1323    97.9945    11.1840       1916        477       2170         11
    0.4871    23.3295    23.8166    97.9684    12.2047       1851       1040       1973         12
    0.4871    23.3295    23.8166    97.9684    13.2254       1971       1040       1973         13
   -0.1868    23.3955    23.2087    97.7148    14.2488         35        480       2148         14
   -0.1892    23.3980    23.2087    97.7055    15.2723        490        478       2148         15
    0.5569    23.3987    23.9556    97.7028    16.2958       1870       1098       1933         16
    0.5232    23.4567    23.9799    97.6179    17.3202       1334       1070       1926         17
   -0.0292    23.4637    23.4345    97.6114    18.3447       1332        611       2083         18
   -0.1604    23.4663    23.3060    97.6089    19.3692        831        502       2120         19
   -0.1604    23.4663    23.3060    97.6089    20.3937       1899        502       2120         20
    0.6015    23.4722    24.0737    97.6034    21.4182        699       1135       1899         21
   -0.1567    23.4766    23.3199    97.5993    22.4428        764        505       2116         22
   -0.1567    23.4766    23.3199    97.5993    23.4674       1894        505       2116         23
   -0.1736    23.4969    23.3234    97.5802    24.4922        550        491       2115         24
   -0.1688    23.5269    23.3581    97.5522    25.5173        913        495       2105         25
   -0.1688    23.5269    23.3581    97.5522    26.5424       1902        495       2105         26
   -0.1640    23.6610    23.4970    97.2766    27.5704       1969        499       2065         27
   -0.1640    23.6610    23.4970    97.2766    28.5984       1840        499       2065         28
   -0.1784    23.6720    23.4936    97.2515    29.6267       1907        487       2066         29
   -0.1784    23.6720    23.4936    97.2515    30.6549        986        487       2066         30
   -0.1628    23.7536    23.5908    97.0313    31.6855       1117        500       2038         31
   -0.1628    23.7536    23.5908    97.0313    32.7161       1915        500       2038         32
   -0.1435    23.8003    23.6568    96.9010    33.7481        637        516       2019         33
   -0.1435    23.8003    23.6568    96.9010    34.7801       1881        516       2019         34
   -0.1435    23.8455    23.7020    96.8044    35.8131       1895        516       2006         35
   -0.1435    23.8455    23.7020    96.8044    36.8461        800        516       2006         36
   -0.1423    23.8617    23.7194    96.7797    37.8794       1967        517       2001         37
   -0.1423    23.8617    23.7194    96.7797    38.9127       1734        517       2001         38
   -0.0942    23.8761    23.7819    96.7577    39.9462        741        557       1983         39
   -0.0942    23.8761    23.7819    96.7577    40.9797       1890        557       1983         40
   -0.1760    23.8815    23.7055    96.7494    42.0133        610        489       2005         41
   -0.1760    23.8815    23.7055    96.7494    43.0469       1875        489       2005         42
   -0.1459    23.8827    23.7367    96.7476    44.0805       1390        514       1996         43
   -0.1459    23.8827    23.7367    96.7476    45.1141       1941        514       1996         44
    0.5870    23.9626    24.5496    96.6252    46.1490        775       1123       1762         45
   -0.0581    23.9928    23.9347    96.6648    47.1835        504        587       1939         46
   -0.1002    24.0037    23.9035    96.6803    48.2179        482        552       1948         47
   -0.1363    24.0502    23.9139    96.7464    49.2515       1564        522       1945         48
   -0.1363    24.0502    23.9139    96.7464    50.2851       1952        522       1945         49
   -0.1110    24.0736    23.9625    96.7796    51.3184        668        543       1931         50
   -0.0978    24.0777    23.9799    96.7854    52.3516        105        554       1926         51
   -0.1315    24.0871    23.9556    96.7988    53.3847       1674        526       1933         52
   -0.1315    24.0871    23.9556    96.7988    54.4178       1959        526       1933         53
   -0.1230    24.0960    23.9730    96.7438    55.4514       1951        533       1928         54
   -0.1170    24.1074    23.9903    96.4232    56.4885       1926        538       1923         55
   -0.1170    24.1074    23.9903    96.4232    57.5256       1227        538       1923         56
   -0.0966    24.1251    24.0285    95.9217    58.5681        449        555       1912         57
   -0.0593    24.1260    24.0668    95.8962    59.6109        914        586       1901         58
   -0.0990    24.1310    24.0320    95.7556    60.6552        518        553       1911         59
   -0.1074    24.1394    24.0320    95.5177    61.7022        168        546       1911         60
   -0.1279    24.1495    24.0216    95.3971    62.7504       1713        529       1914         61
   -0.1279    24.1495    24.0216    95.3971    63.7987       1965        529       1914         62
   -0.0821    24.1558    24.0737    95.4117    64.8468       1958        567       1899         63
   -0.0821    24.1558    24.0737    95.4117    65.8949       1628        567       1899         64
   -0.1050    24.1613    24.0563    95.4243    66.9428       1518        548       1904         65
   -0.1050    24.1613    24.0563    95.4243    67.9908       1949        548       1904         66
   -0.1339    24.1937    24.0598    95.4986    69.0379       1555        524       1903         67
   -0.1339    24.1937    24.0598    95.4986    70.0850       1953        524       1903         68
   -0.1050    24.1995    24.0945    95.5121    71.1320        985        548       1893         69
   -0.1050    24.1995    24.0945    95.5121    72.1790       1906        548       1893         70
   -0.1255    24.2408    24.1154    95.6069    73.2249        624        531       1887         71
   -0.1255    24.2408    24.1154    95.6069    74.2709       1877        531       1887         72
   -0.1303    24.2665    24.1362    95.6658    75.3162       1955        527       1881         73
   -0.1303    24.2665    24.1362    95.6658    76.3615       1616        527       1881         74
    0.1405    24.2979    24.4385    95.7028    77.4064       1880        752       1794         75
    0.1405    24.2979    24.4385    95.7028    78.4513        629        752       1794         76
   -0.0966    24.3023    24.2057    95.7062    79.4962       1905        555       1861         77
   -0.0966    24.3023    24.2057    95.7062    80.5410        932        555       1861         78
   -0.0544    24.3331    24.2787    95.7307    81.5856        323        590       1840         79
   -0.0280    24.3344    24.3065    95.7318    82.6302       1464        612       1832         80
   -0.0280    24.3344    24.3065    95.7318    83.6748       1944        612       1832         81
   -0.0593    24.3449    24.2856    95.7401    84.7193        547        586       1838         82
   -0.1471    24.3459    24.1988    95.7409    85.7638        804        513       1863         83
   -0.1471    24.3459    24.1988    95.7409    86.8083       1897        513       1863         84
    0.3993    24.3866    24.7858    95.7733    87.8524       1354        967       1694         85
    0.3993    24.3866    24.7858    95.7733    88.8965       1936        967       1694         86
    0.1694    24.3872    24.5566    95.7737    89.9407        511        776       1760         87
   -0.0942    24.3971    24.3030    95.7817    90.9847       1301        557       1833         88
   -0.0942    24.3971    24.3030    95.7817    92.0288       1932        557       1833         89
   -0.0557    24.4073    24.3516    95.7838    93.0728       1970        589       1819         90
   -0.0557    24.4073    24.3516    95.7838    94.1168       1856        589       1819         91
   -0.0460    24.4150    24.3690    95.7715    95.1609         45        597       1814         92
   -0.0869    24.4177    24.3308    95.7671    96.2051       1922        563       1825         93
   -0.0869    24.4177    24.3308    95.7671    97.2493       1195        563       1825         94
   -0.0845    24.4188    24.3342    95.7654    98.2936       1032        565       1824         95
   -0.0845    24.4188    24.3342    95.7654    99.3378       1909        565       1824         96
   -0.0689    24.4379    24.3690    95.7348   100.3823       1158        578       1814         97
   -0.0689    24.4379    24.3690    95.7348   101.4269       1919        578       1814         98
   -0.0869    24.4420    24.3551    95.7282   102.4715       1963        563       1818         99
   -0.0460    24.4463    24.4002    95.7214   103.5162         27        597       1805        100
   -0.0207    24.4488    24.4280    95.7174   104.5609        496        618       1797        101
   -0.0316    24.4492    24.4176    95.7167   105.6057         69        609       1800        102
   -0.0821    24.4824    24.4002    95.6636   106.6510       1929        567       1805        103
   -0.0821    24.4824    24.4002    95.6636   107.6964       1251        567       1805        104
    0.0093    24.4847    24.4940    95.6599   108.7417        645        643       1778        105
