                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                     301                                      781                  1.8459705657157899E-001                 -1.5123018777138744E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995814E-001                  9.9999999999942668E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995814E-001                  9.9999999999942668E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7388886758774042E+001                 -1.0159579988146323E+001                 -2.3330807904566848E+000                 -2.3330807839810084E+000                 -1.7389038452177076E+001                 -2.0845780220316556E+001                 -1.0159579988146323E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0193846068507084E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1138154142063641E+000                  9.8194744215224705E-001                 -2.2133982708839777E+000                  8.9333532429965778E+000                  7.3606618848607482E-010                  8.1062291204241550E+000                  8.1065407456322003E+000                  2.5469365017308146E+001                  8.1065407456322003E+000                  8.1062291204241550E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5398334544326029E-048                  2.2571004156766739E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9509013729044962E-001                  5.7514645408332976E-001                  3.2333105605156314E-029                  1.4132840250678768E-007                                        0                                        0                                        4 
                                     310                                     1781                  9.5181680285763759E-001                 -7.9967066328525116E-001                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942135E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942135E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7419023291531154E+001                 -1.0159699896394207E+001                 -2.3345711416064363E+000                 -2.3345711351102936E+000                 -1.7419183959774653E+001                 -2.0850957888672703E+001                 -1.0159699896394207E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442249E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1139028601155081E+000                  9.8233663273075100E-001                 -2.2133785674130158E+000                  8.9333138360546531E+000                  6.2244931218146341E-013                  8.1062261639055819E+000                  8.1065361434915992E+000                  2.5469358720873142E+001                  8.1065361434915992E+000                  8.1062261639055819E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5398898597536621E-048                  2.2603932728940227E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  3.2319895305428644E-029                  1.4132827720616716E-007                                        0                                        0                                        6 
                                     320                                     1761                  5.8925707115646677E+000                 -7.8582028090031317E-003                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942124E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942124E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7424699875500622E+001                 -1.0160304606993915E+001                 -2.3350487769661936E+000                 -2.3350487704719511E+000                 -1.7424856183870645E+001                 -2.0868580104331741E+001                 -1.0160304606993915E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1138727509303274E+000                  9.8221401136969821E-001                 -2.2133796597231803E+000                  8.9333160206749813E+000                 -1.9181933299598705E-012                  8.1062227483262177E+000                  8.1065366734671080E+000                  2.5469359431148103E+001                  8.1065366734671080E+000                  8.1062227483262177E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5399280687457978E-048                  2.2797277647142931E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  3.2238214988679502E-029                  1.4132747094822304E-007                                        0                                        0                                        6 
                                     330                                     1759                  3.6484416642221149E+001                  7.8395425766724502E-001                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942091E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999942091E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7458733456873684E+001                 -1.0161947238378445E+001                 -2.3374512281242263E+000                 -2.3374512216186121E+000                 -1.7458877801817799E+001                 -2.0937188361938166E+001                 -1.0161947238378445E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1138066545914862E+000                  9.8193964928081745E-001                 -2.2133846480899364E+000                  8.9333259974084935E+000                 -1.8001356044215305E-012                  8.1062016202589575E+000                  8.1065399819093695E+000                  2.5469363865901677E+001                  8.1065399819093695E+000                  8.1062016202589575E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5401778504830949E-048                  2.3500725117226193E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  3.1815034620414569E-029                  1.4132249657687126E-007                                        0                                        0                                        3 
                                     340                                     1757                  2.2590106331951608E+002                  1.5757667181434931E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999941935E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999941935E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7642590130257886E+001                 -1.0172073213584566E+001                 -2.3520787819253504E+000                 -2.3520787753519530E+000                 -1.7642746597003200E+001                 -2.1086030623751039E+001                 -1.0172073213584566E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1134181090952247E+000                  9.8032393156558750E-001                 -2.2134154159550299E+000                  8.9333875331386814E+000                 -1.8510363409580060E-012                  8.1060710543526291E+000                  8.1065604709421688E+000                  2.5469391331323781E+001                  8.1065604709421688E+000                  8.1060710543526291E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5418309858217234E-048                  2.3852373226006982E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  3.0282117490828186E-029                  1.4129234781374612E-007                                        0                                        0                                        3 
                                     350                                     1752                  1.3987190135601943E+003                  2.3675791786197413E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999940881E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995959E-001                  9.9999999999940881E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8364814587475738E+001                 -1.0233142012479931E+001                 -2.4341678268386819E+000                 -2.4341678199393013E+000                 -1.8365460817211495E+001                 -2.1192535035715313E+001                 -1.0233142012479931E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442249E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1108580125211507E+000                  9.6970297868361277E-001                 -2.2136056992478697E+000                  8.9337680997243609E+000                 -1.7940857301323070E-012                  8.1053042209414894E+000                  8.1066858469720078E+000                  2.5469559526995443E+001                  8.1066858469720078E+000                  8.1053042209414894E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5515985851064385E-048                  2.2803231077600246E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  2.6944833753710330E-029                  1.4112707617232671E-007                                        0                                        0                                        4 
                                     360                                     1733                  8.6604986329099138E+003                  3.1593916390959893E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999995492E-001                  9.9999999999934519E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999995492E-001                  9.9999999999934519E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0225202283818852E+001                 -1.0581763847457786E+001                 -2.7870264568949006E+000                 -2.7870264499278830E+000                 -2.0279010572736681E+001                 -2.1158763812054758E+001                 -1.0581763847457786E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442242E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0960577076821254E+000                  9.0831992952504226E-001                 -2.2146966141491036E+000                  8.9359499295268279E+000                 -1.6504238549462337E-012                  8.1016228521861624E+000                  8.1074103423481265E+000                  2.5470534486483952E+001                  8.1074103423481265E+000                  8.1016228521861624E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.5978058980139104E-048                  1.8366611658821834E-026                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  2.2598654534339678E-029                  1.4052979864966761E-007                                        0                                        0                                        5 
                                     370                                     1670                  5.3623523993479561E+004                  3.9512040995722377E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999993405E-001                  9.9999999999896916E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999999993405E-001                  9.9999999999896916E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1134677285510950E+001                 -1.2375451884928500E+001                 -4.0449991659110678E+000                 -4.0449991638818368E+000                 -2.1319091647676405E+001                 -2.1595616099652215E+001                 -1.2375451884928500E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442225E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0254398918797918E+000                  6.1643983235303457E-001                 -2.2194010311304391E+000                  8.9453587634894998E+000                 -1.0597091635401722E-012                  8.0841979337184426E+000                  8.1106219695494648E+000                  2.5474853711557451E+001                  8.1106219695494648E+000                  8.0841979337184426E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  7.8130006394452319E-048                  6.5821299186318411E-027                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908324E-001                  5.7514669330322865E-001                  1.9069046100665337E-029                  1.3986827480907465E-007                                        0                                        0                                        5 
                                     380                                     1592                  2.0330514217643853E+005                  4.2911744541742065E+000                  1.1712978546040329E+000                  3.3367345798375680E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999999985212E-001                  9.9999999999785116E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999985212E-001                  9.9999999999785116E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                 -2.2191452364075687E+001                 -1.6933300058441926E+001                 -6.5008029598320940E+000                 -6.5008029598160508E+000                 -2.2376841897197441E+001                 -2.2650553799410766E+001                 -1.6933300058441926E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442238E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8975169922333714E+000                  9.1362857282997423E-002                 -2.2260937193726171E+000                  8.9587441399738559E+000                 -4.2644365279104894E-013                  8.0485160916549070E+000                  8.1154544043319969E+000                  2.5481324891877268E+001                  8.1154544043319969E+000                  8.0485160916549070E+000                  1.7919967217659512E+000                  4.9910555849743782E-001                  1.6968946777120845E+001                  8.2395876329110845E-048                  7.8782163654428422E-028                  9.1765371744868623E-002                  5.0125262248130131E-001                  3.9508997791908329E-001                  5.7514669330322843E-001                  1.7969238218237236E-029                  1.3981828513911062E-007                                        0                                        0                                        5 
